All stats are averaged over 10-runs,,,,,,,
N_zp,T,K,tiles (per dim),Runtime [micro-s./frame],Runtime variance,FPS [frames/s.],cycle-count [clock-tics/frame]
1026,1026,3,1,21787.8,4266.48,48,8.72E+07
1026,1025,3,2,74507.7,30628.2,14.5,2.98E+08
1026,1024,3,2,58783.9,374.86,16.7,2.35E+08
1026,1023,3,2,59537.9,510.607,16.2,2.38E+08
1026,1022,3,2,58185.2,195.808,17,2.33E+08
1026,1021,3,2,75911.3,34039.6,14.1,3.04E+08
1026,1020,3,2,74447.8,26608.1,14.4,2.98E+08
1026,1019,3,2,58511.5,658.048,16.8,2.34E+08
1026,1018,3,2,73619.7,34073.1,14.8,2.94E+08
1026,1017,3,2,74282.9,33678.5,14.4,2.97E+08
1026,1016,3,2,59310.9,498.888,16.3,2.37E+08
1026,1015,3,2,75724.9,34023.3,14.1,3.03E+08
1026,1014,3,2,57579.6,555.514,17,2.30E+08
1026,1013,3,2,57561.3,448.026,17,2.30E+08
1026,1012,3,2,60024.3,361.749,16,2.40E+08
1026,1011,3,2,57224.6,222.261,17,2.29E+08
1026,1010,3,2,52313.8,560.832,18.8,2.09E+08
1026,1009,3,2,57367.4,465.605,17,2.29E+08
1026,1008,3,2,59220.8,476.797,16.4,2.37E+08
1026,1007,3,2,72032.9,29592.2,14.9,2.88E+08
1026,1006,3,2,56430.5,548.499,17.3,2.26E+08
1026,1005,3,2,58864,719.39,16.6,2.35E+08
1026,1004,3,2,56632.3,344.774,17,2.27E+08
1026,1003,3,2,56407.1,522.404,17.3,2.26E+08
1026,1002,3,2,55988.2,566.967,17.5,2.24E+08
1026,1001,3,2,58183.2,474.941,17,2.33E+08
1026,1000,3,2,57714.4,647.634,17,2.31E+08
1026,999,3,2,55536.5,510.943,17.9,2.22E+08
1026,998,3,2,66804.6,33123.6,16.5,2.67E+08
1026,997,3,2,58147.8,7627.34,17.2,2.33E+08
1026,996,3,2,55975.8,395.616,17.6,2.24E+08
1026,995,3,2,46711.1,523.195,21.2,1.87E+08
1026,994,3,2,57038.5,777.271,16.9,2.28E+08
1026,993,3,2,56807.8,528.41,17.1,2.27E+08
1026,992,3,2,70242.1,29534,15.4,2.81E+08
1026,991,3,2,54843.1,1256.68,17.9,2.19E+08
1026,990,3,2,54824.4,457.096,18,2.19E+08
1026,989,3,2,57514.9,775.534,16.9,2.30E+08
1026,988,3,2,69829.5,25490.4,15.4,2.79E+08
1026,987,3,2,54119,586.31,18,2.16E+08
1026,986,3,2,69468.6,32959.7,15.9,2.78E+08
1026,985,3,2,55845.5,406.11,17.7,2.23E+08
1026,984,3,2,54375.5,1103.72,17.9,2.18E+08
1026,983,3,2,53888.1,765.864,18.1,2.16E+08
1026,982,3,2,69254.3,28988.6,15.6,2.77E+08
1026,981,3,2,52969,334.979,18.4,2.12E+08
1026,980,3,2,45165.2,629.373,21.8,1.81E+08
1026,979,3,2,55253.4,244.806,18,2.21E+08
1026,978,3,2,54986.9,436.674,18,2.20E+08
1026,977,3,2,53433.7,460.935,18.2,2.14E+08
1026,976,3,2,52582.1,327.753,18.8,2.10E+08
1026,975,3,2,69893.9,31422.9,15.6,2.80E+08
1026,974,3,2,54966.4,423.046,18,2.20E+08
1026,973,3,2,52510,870.675,18.8,2.10E+08
1026,972,3,2,67851.4,25022.2,15.8,2.71E+08
1026,971,3,2,53330.1,700.276,18.3,2.13E+08
1026,970,3,2,67178.9,32211.9,16.5,2.69E+08
1026,969,3,2,51372,643.285,19.3,2.05E+08
1026,968,3,2,66737,25034,16.3,2.67E+08
1026,967,3,2,51265.7,399.122,19.3,2.05E+08
1026,966,3,2,63306.6,24300.2,17.1,2.53E+08
1026,965,3,2,51119.3,304.752,19.3,2.04E+08
1026,964,3,2,50970.8,497.464,19.6,2.04E+08
1026,963,3,2,50712.5,512.702,19.8,2.03E+08
1026,962,3,2,52459.1,603.413,18.8,2.10E+08
1026,961,3,2,50971.2,652.399,19.5,2.04E+08
1026,960,3,2,65877.9,32633.2,17.2,2.64E+08
1026,959,3,2,51595.4,610.062,18.9,2.06E+08
1026,958,3,2,66230.1,25837.7,16.6,2.65E+08
1026,957,3,2,49722.7,396.868,20,1.99E+08
1026,956,3,2,50102.8,540.853,19.9,2.00E+08
1026,955,3,2,49869.3,588.865,19.9,1.99E+08
1026,954,3,2,49699.6,393.943,20,1.99E+08
1026,953,3,2,49720.4,538.92,19.9,1.99E+08
1026,952,3,2,43205,353.295,23,1.73E+08
1026,951,3,2,49735.3,696.694,19.9,1.99E+08
1026,950,3,2,49333.7,549.434,20,1.97E+08
1026,949,3,2,50414.2,1452.74,19.6,2.02E+08
1026,948,3,2,49973.2,529.755,20,2.00E+08
1026,947,3,2,63510.5,25439,17.4,2.54E+08
1026,946,3,2,51907,4353.4,19.2,2.08E+08
1026,945,3,2,49816.5,766.625,19.9,1.99E+08
1026,944,3,2,48800.8,775.393,20,1.95E+08
1026,943,3,2,49755.4,322.053,20,1.99E+08
1026,942,3,2,65930.5,32667,17.2,2.64E+08
1026,941,3,2,48631.4,399.082,20,1.95E+08
1026,940,3,2,58508.8,25974.6,18.7,2.34E+08
1026,939,3,2,55056.1,9966.62,18.3,2.20E+08
1026,938,3,2,44386.5,1543.03,22.3,1.78E+08
1026,937,3,2,64713.2,24706.6,16.9,2.59E+08
1026,936,3,2,74125.1,41156.8,16.3,2.97E+08
1026,935,3,2,50774.3,8652.32,19.9,2.03E+08
1026,934,3,2,48056.5,962.17,20.5,1.92E+08
1026,933,3,2,49382.1,862.486,19.9,1.98E+08
1026,932,3,2,47626.2,566.915,20.7,1.91E+08
1026,931,3,2,49543.1,636.326,20,1.98E+08
1026,930,3,2,61654.7,28284.6,17.8,2.47E+08
1026,929,3,2,48493.3,3974.14,20.4,1.94E+08
1026,928,3,2,62389,24252.7,17.6,2.50E+08
1026,927,3,2,47269.9,344.91,21,1.89E+08
1026,926,3,2,61931.4,30726.8,18.2,2.48E+08
1026,925,3,2,39865.6,783.661,24.9,1.59E+08
1026,924,3,2,45673.5,451.783,21.7,1.83E+08
1026,923,3,2,47293.3,831.566,20.9,1.89E+08
1026,922,3,2,61165.4,30496.5,18.5,2.45E+08
1026,921,3,2,45268.6,606.593,21.9,1.81E+08
1026,920,3,2,60807.1,31004.7,18.6,2.43E+08
1026,919,3,2,46608.4,372.599,21.1,1.86E+08
1026,918,3,2,45026.4,471.624,22,1.80E+08
1026,917,3,2,45046.9,314.949,22,1.80E+08
1026,916,3,2,60831.2,24168.8,18,2.43E+08
1026,915,3,2,44554.6,373.494,22,1.78E+08
1026,914,3,2,45686.4,599.309,21.6,1.83E+08
1026,913,3,2,45328,410.031,22,1.81E+08
1026,912,3,2,40572.1,651.924,24.7,1.62E+08
1026,911,3,2,45419.6,922.722,21.8,1.82E+08
1026,910,3,2,53967.9,25228.2,20.2,2.16E+08
1026,909,3,2,54587.8,18317.9,19.6,2.18E+08
1026,908,3,2,50323.6,12487.7,20.5,2.01E+08
1026,907,3,2,44521.4,393.9,22.1,1.78E+08
1026,906,3,2,44745.6,871.803,22.1,1.79E+08
1026,905,3,2,44969,715.504,21.9,1.80E+08
1026,904,3,2,44970.8,431.381,22,1.80E+08
1026,903,3,2,44862.3,784.153,22.1,1.79E+08
1026,902,3,2,59605.9,30514.4,19,2.38E+08
1026,901,3,2,58930.5,26864.3,19.1,2.36E+08
1026,900,3,2,38396.4,1237.48,26,1.54E+08
1026,899,3,2,43513.2,471.209,22.8,1.74E+08
1026,898,3,2,58789.5,29403.1,19.3,2.35E+08
1026,897,3,2,42480.3,346.284,23.1,1.70E+08
1026,896,3,2,43585.4,872.264,22.7,1.74E+08
1026,895,3,2,58104.2,30224.8,19.6,2.32E+08
1026,894,3,2,42534.3,395.609,23.1,1.70E+08
1026,893,3,2,58037.7,29732.1,19.7,2.32E+08
1026,892,3,2,42184.6,418.384,23.4,1.69E+08
1026,891,3,2,42353.1,535.996,23.3,1.69E+08
1026,890,3,2,42038,384.7,23.4,1.68E+08
1026,889,3,2,42350.7,569.294,23.4,1.69E+08
1026,888,3,2,38108.3,548.641,26.5,1.52E+08
1026,887,3,2,41959.9,455.962,23.5,1.68E+08
1026,886,3,2,42573.6,445.558,23.2,1.70E+08
1026,885,3,2,57342.2,29046.5,19.9,2.29E+08
1026,884,3,2,41411.8,394.966,24,1.66E+08
1026,883,3,2,41233.8,369.81,24.3,1.65E+08
1026,882,3,2,41759.4,537.196,23.6,1.67E+08
1026,881,3,2,42260.4,2052.72,23.7,1.69E+08
1026,880,3,2,49289,23699.9,22.4,1.97E+08
1026,879,3,2,45894.5,9943.41,22.6,1.84E+08
